"UniqueSite","Site_Lat","Site_Long","Year","Targeted.biomass","PA_tp","Atoll","DepthCategory","CleanHabitat","Protection","CensusMethod","Total.sampling.Area","gravtot_500km","MPAage","NTZarea","Regional_population_growth","Ocean_prod","Climate_stress","HDI","Larger_pop_size","spatialcatch_tkm2","Larger_2","SocialSIte4km"
8698,-14.25116,-169.44694,2008,67.62070079,0,0,">10m","Slope","Fished","Standard belt transect",400,1.424368629,0,0,-14.26562446,121.3622692,0.685482698,0.827,55128,1.38972724194652,"American Samoa","Williams_old_274"
8700,-14.2124,-169.44067,2008,119.6322685,0,0,">10m","Slope","Fished","Standard belt transect",400,1.152407566,0,0,-14.26562446,121.0039323,0.686864338,0.827,55128,1.38972724194652,"American Samoa","Williams_old_275"
8703,-14.22728,-169.41792,2008,122.6977039,0,0,">10m","Slope","Fished","Standard belt transect",400,1.671938945,0,0,-14.26562446,121.0039323,0.686864338,0.827,55128,1.38972724194652,"American Samoa","Williams_old_275"
8705,-14.26257,-169.47492,2008,28.49447026,0,0,">10m","Slope","Fished","Standard belt transect",400,1.693195019,0,0,-14.26562446,121.4813583,0.685367985,0.827,55128,1.38972724194652,"American Samoa","Williams_old_277"
8707,-14.2466,-169.50577,2008,167.4062441,0,0,">10m","Slope","Fished","Standard belt transect",400,15.88151534,0,0,-14.26562446,121.5380203,0.687322637,0.827,55128,1.38972724194652,"American Samoa","Williams_old_278"
8709,-14.2147,-169.46818,2008,156.9508873,0,0,">10m","Slope","Fished","Standard belt transect",400,2.884166996,0,0,-14.26562446,121.4582619,0.687595959,0.827,55128,1.38972724194652,"American Samoa","Williams_old_276"
8711,-14.21738,-169.51308,2008,400.9212718,0,0,">10m","Slope","Fished","Standard belt transect",400,28.92190811,0,0,-14.26562446,121.3460882,0.687774412,0.827,55128,1.38972724194652,"American Samoa","Williams_old_279"
8713,-14.25755,-169.50068,2008,119.3069156,0,0,">10m","Slope","Fished","Standard belt transect",400,1.398433842,0,0,-14.26562446,121.5380203,0.687322637,0.827,55128,1.38972724194652,"American Samoa","Williams_old_278"
8714,-14.25395,-169.46957,2008,184.0071014,1,0,"0-4m","Slope","Fished","Standard belt transect",400,1.017747679,0,0,-14.26562446,121.4813583,0.685367985,0.827,55128,1.38972724194652,"American Samoa","Williams_old_277"
8715,-14.25025,-169.46218,2008,261.9732638,0,0,">10m","Slope","Fished","Standard belt transect",200,0.941317423,0,0,-14.26562446,121.4813583,0.685367985,0.827,55128,1.38972724194652,"American Samoa","Williams_old_277"
8716,-14.21435,-169.4213,2008,185.0498015,0,0,">10m","Slope","Fished","Standard belt transect",400,2.12500659,0,0,-14.26562446,121.0039323,0.686864338,0.827,55128,1.38972724194652,"American Samoa","Williams_old_275"
8719,15.03477269,145.6510282,2009,46.71905606,0,0,">10m","Slope","Fished","Standard belt transect",400,15.48837746,0,0,31.54789292,116.1802472,0.712601828,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_280"
